iter	Passed	Remaining
0	0	75
1	1	72
2	2	67
3	2	61
4	3	60
5	3	59
6	4	58
7	5	57
8	5	56
9	6	56
10	6	55
11	7	54
12	8	54
13	8	53
14	9	52
15	9	51
16	10	51
17	11	50
18	11	49
19	12	49
20	13	49
21	13	48
22	14	47
23	14	46
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	42
30	18	42
31	19	41
32	20	41
33	20	40
34	21	39
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	25	36
41	25	35
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	44	16
73	44	15
74	45	15
75	46	14
76	46	14
77	47	13
78	48	12
79	48	12
80	49	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	54	7
88	54	6
89	55	6
90	55	5
91	56	4
92	57	4
93	57	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
