iter	Passed	Remaining
0	157	157180
1	159	79509
2	160	53427
3	161	40331
4	163	32517
5	165	27350
6	166	23599
7	167	20769
8	168	18567
9	170	16898
10	172	15506
11	173	14317
12	175	13287
13	176	12437
14	177	11671
15	178	10999
16	180	10413
17	181	9900
18	182	9435
19	184	9019
20	185	8637
21	186	8284
22	188	8003
23	189	7711
24	190	7441
25	191	7192
26	193	6962
27	194	6756
28	195	6555
29	197	6370
30	198	6202
31	199	6043
32	200	5889
33	202	5742
34	203	5603
35	204	5471
36	208	5433
37	210	5317
38	211	5216
39	213	5117
40	214	5016
41	215	4917
42	216	4825
43	218	4741
44	219	4655
45	220	4572
46	221	4492
47	222	4416
48	224	4353
49	225	4285
50	226	4218
51	227	4152
52	231	4133
53	232	4081
54	234	4024
55	235	3977
56	237	3927
57	238	3875
58	239	3823
59	241	3780
60	242	3735
61	243	3689
62	245	3643
63	246	3599
64	247	3564
65	249	3524
66	250	3484
67	251	3446
68	252	3409
69	254	3381
70	255	3348
71	257	3313
72	258	3278
73	260	3256
74	261	3229
75	263	3197
76	264	3167
77	266	3150
78	267	3123
79	269	3094
80	270	3065
81	271	3039
82	272	3008
83	273	2981
84	274	2954
85	275	2929
86	276	2904
87	278	2883
88	279	2860
89	280	2836
90	281	2814
91	282	2792
92	288	2812
93	289	2793
94	291	2776
95	292	2757
96	293	2736
97	295	2715
98	296	2699
99	297	2680
100	298	2660
101	300	2641
102	301	2622
103	304	2624
104	307	2623
105	311	2629
106	313	2612
107	314	2594
108	315	2580
109	316	2564
110	318	2547
111	319	2530
112	320	2514
113	322	2502
114	323	2486
115	324	2471
116	325	2454
117	326	2438
118	328	2432
119	329	2418
120	330	2404
121	331	2388
122	333	2375
123	334	2363
124	335	2349
125	336	2336
126	337	2321
127	339	2310
128	340	2299
129	341	2286
130	342	2273
131	343	2260
132	344	2247
133	346	2240
134	347	2229
135	349	2217
136	350	2206
137	351	2196
138	352	2185
139	354	2174
140	355	2163
141	355	2150
142	356	2139
143	358	2132
144	359	2121
145	360	2111
146	362	2101
147	363	2091
148	368	2103
149	369	2093
150	370	2085
151	372	2076
152	373	2067
153	374	2057
154	375	2047
155	377	2040
156	378	2032
157	379	2022
158	380	2013
159	381	2004
160	382	1994
161	384	1987
162	385	1979
163	386	1971
164	387	1962
165	391	1969
166	393	1963
167	397	1968
168	399	1963
169	400	1954
170	401	1947
171	403	1940
172	404	1932
173	405	1926
174	407	1919
175	409	1915
176	410	1909
177	411	1902
178	413	1894
179	414	1889
180	415	1882
181	417	1874
182	418	1867
183	419	1860
184	422	1861
185	423	1854
186	425	1847
187	426	1840
188	427	1835
189	428	1828
190	430	1821
191	431	1814
192	432	1808
193	433	1802
194	434	1795
195	436	1788
196	437	1781
197	438	1775
198	440	1773
199	441	1767
200	443	1761
201	444	1755
202	445	1750
203	447	1744
204	448	1738
205	449	1731
206	450	1726
207	451	1720
208	452	1714
209	454	1708
210	455	1701
211	456	1696
212	457	1691
213	458	1685
214	459	1679
215	461	1673
216	464	1677
217	467	1675
218	468	1669
219	469	1665
220	470	1659
221	472	1654
222	473	1649
223	474	1644
224	475	1639
225	477	1634
226	478	1628
227	479	1622
228	480	1617
229	482	1615
230	483	1610
231	484	1604
232	486	1599
233	487	1595
234	488	1591
235	490	1586
236	491	1581
237	492	1576
238	493	1571
239	494	1567
240	495	1562
241	497	1556
242	498	1551
243	499	1547
244	500	1543
245	502	1538
246	503	1534
247	504	1529
248	506	1526
249	507	1522
250	508	1517
251	509	1512
252	510	1507
253	512	1504
254	514	1502
255	515	1498
256	516	1493
257	518	1491
258	519	1486
259	520	1482
260	521	1477
261	522	1472
262	529	1484
263	535	1494
264	538	1494
265	540	1490
266	541	1485
267	542	1481
268	544	1480
269	545	1475
270	547	1471
271	548	1467
272	549	1463
273	550	1459
274	551	1455
275	553	1450
276	554	1446
277	556	1444
278	557	1440
279	558	1436
280	559	1432
281	560	1427
282	562	1424
283	563	1420
284	564	1416
285	565	1412
286	566	1408
287	568	1405
288	569	1401
289	570	1397
290	571	1393
291	573	1389
292	574	1386
293	575	1382
294	576	1378
295	577	1374
296	579	1370
297	582	1371
298	584	1369
299	585	1366
300	586	1362
301	588	1359
302	589	1355
303	590	1351
304	591	1347
305	592	1344
306	594	1341
307	595	1337
308	596	1333
